Student_ID,Name,Electronics,Programming,Database,Data Science,Mathematics,DSA
1,Eta Handa,36,54,40,44,92,34
2,Raghav Bhasin,42,83,66,40,89,81
3,Chanchal Kaur,48,93,98,54,87,91
4,Hema Dua,40,67,74,47,37,74
5,Eiravati Chowdhury,88,38,70,49,31,92
6,Amruta Chaudhuri,55,48,74,61,61,59
7,Nathaniel Lala,65,89,91,90,62,43
8,Patrick Jain,85,60,96,35,39,96
9,Frado Nadkarni,85,67,82,68,42,85
10,Qushi Chaudhari,99,83,54,76,80,43
11,Yamini Chaudry,71,80,50,78,48,36
12,Mitesh Prabhakar,96,49,47,62,64,39
13,Harrison Choudhry,80,53,42,41,47,94
14,Panini Chander,89,75,34,75,71,96
15,Aashi Rajan,63,70,87,34,34,40
16,Eiravati Prashad,65,51,83,78,41,34
17,Fiyaz Kala,78,40,97,87,81,41
18,Chasmum Kanda,56,84,52,49,34,36
19,Yoshita Krishnamurthy,42,36,93,60,55,41
20,Raagini Patil,82,95,65,82,90,62
21,Ekapad Nazareth,35,35,42,78,32,87
22,Kamya Devan,62,93,81,67,60,98
23,Odika Bhasin,74,68,60,36,75,82
24,Harrison Lala,35,45,34,96,65,47
25,Advaith Subramanian,39,56,55,44,35,78
26,Chakrika Varughese,36,68,42,58,41,65
27,Bahadurjit Mannan,94,55,52,93,43,66
28,Yamini Chanda,81,80,54,87,79,61
29,Oviya Sura,54,68,39,87,84,53
30,Ekaraj Mahal,95,38,58,56,77,71
31,Chakradev Bala,89,87,81,84,74,33
32,Yug Rajagopalan,49,75,86,82,78,73
33,Krishna Narang,41,73,36,65,45,86
34,Naksh Keer,64,87,40,83,99,72
35,Bina Hegde,87,73,54,62,42,43
36,Zehaan Bhasin,64,98,45,67,82,87
37,Max Karpe,77,33,57,91,65,79
38,Jackson Chaudhari,97,77,37,71,48,40
39,Udyati Sagar,89,55,74,66,83,76
40,Balvan Grover,61,63,68,68,74,77
41,William Yadav,93,36,53,76,79,52
42,Aachal Kulkarni,98,78,51,47,91,57
43,Aarnav Guha,57,42,71,39,95,46
44,Dayita Apte,46,37,35,71,55,63
45,Faqid Nath,68,67,41,31,48,63
46,Kritika Atwal,79,68,91,59,71,40
47,Mohini Sahni,32,33,56,61,91,71
48,Aditya Nazareth,68,63,65,55,86,31
49,Chanchal Bora,62,58,91,38,90,89
50,Anirudh Bajaj,58,80,96,42,83,88
51,Ira Dutt,72,57,80,81,98,34
52,Mekhala Gera,68,46,30,81,85,93
53,Yochana Borde,85,79,89,68,56,94
54,Jasmit Ben,84,46,98,94,36,38
55,Luke Srinivasan,42,63,95,74,99,87
56,Ishwar Toor,51,94,74,57,47,78
57,Unni Murty,69,42,42,40,76,61
58,Kiaan Nayar,67,66,41,89,98,80
59,Osha Modi,79,53,71,85,92,39
60,Chanchal Khanna,50,72,67,71,36,89
61,Yoshita Rai,65,56,46,94,88,53
62,Victor Master,57,45,82,77,39,85
63,Rachita Purohit,37,97,56,91,67,55
64,Ekaraj Shenoy,45,56,72,41,48,86
65,Omisha Memon,30,47,32,42,57,63
66,Zaitra Viswanathan,38,47,97,93,67,99
67,Sanya Dhingra,92,44,84,69,94,87
68,Yadavi Bajaj,80,35,75,44,98,34
69,Yachana Srivastava,66,66,31,53,36,98
70,Agastya Gade,33,65,60,64,52,71
71,Megha Bava,39,44,60,61,73,50
72,Noah Gala,66,70,75,99,45,42
73,Jyoti Doshi,58,44,88,96,66,63
74,Chavvi Vohra,43,50,34,60,35,43
75,Daniel Dash,87,76,73,33,86,92
76,Pranav Rajagopalan,61,44,34,98,54,62
77,Varenya Nagy,75,62,68,40,46,72
78,Eesha Bhalla,38,64,48,73,78,63
79,Veda Ghose,50,94,84,37,75,93
80,Omya Borah,67,94,69,79,39,30
81,Tanvi Dhaliwal,50,80,96,59,66,97
82,Daksha Joshi,93,77,30,65,72,39
83,Finn Lad,92,38,77,52,65,30
84,Isaac Sidhu,35,35,42,54,84,54
85,Chameli Aggarwal,50,73,49,89,49,69
86,Avni Bhat,32,76,84,94,83,87
87,Ayush Mohanty,82,39,82,60,65,83
88,Balhaar Jain,61,91,55,65,38,40
89,Advik Khosla,65,65,33,72,71,97
90,Chakradhar Savant,66,40,64,35,67,99
91,Vritti Savant,62,95,57,78,67,37
92,Ria Murty,73,81,73,70,74,56
93,Andrew Ganesh,64,86,32,44,46,94
94,Dayamai Mammen,65,65,90,93,95,88
95,Pavani Chand,97,67,85,61,43,64
96,Hema Sampath,82,59,65,58,55,97
97,Umang Dewan,73,41,39,43,43,45
98,Vincent Dutta,77,45,81,44,67,65
99,Victor Gopal,90,63,70,86,38,86
100,Falak Nair,49,76,71,44,54,93
101,William Sodhi,43,37,39,87,96,95
102,Xavier Sidhu,64,99,57,41,56,51
103,Rushil Dash,47,68,63,42,72,68
104,Vasudha Sood,37,58,96,73,31,55
105,Mekhala Bora,94,96,36,96,61,64
106,Naveen Ram,62,51,80,53,83,49
107,Upadhriti Sharma,42,50,73,79,48,30
108,Imaran Sem,58,65,71,77,61,41
109,Kai Dugal,99,62,51,53,94,73
110,Jhalak Raman,43,49,72,36,66,93
111,Baghyawati Muni,63,65,67,96,83,50
112,Fitan Ahluwalia,33,51,82,41,98,47
113,Zayyan Date,51,46,70,94,58,33
114,Bahadurjit Barad,60,36,58,79,46,31
115,Pushti Loyal,30,55,94,69,65,57
116,Ronith Palla,67,64,97,66,45,74
117,Lipika Madan,68,32,71,90,70,41
118,Yutika Jha,53,41,52,55,84,47
119,Abdul Deep,65,42,49,67,33,80
120,Anita Edwin,96,94,40,31,48,87
121,Idika Rau,93,82,36,60,55,81
122,Nathan Bhatnagar,63,67,81,93,58,44
123,Yashodhara Dhaliwal,84,75,72,65,50,70
124,Advik Ganesh,98,33,94,83,90,47
125,Zayan Mukherjee,87,47,96,96,45,49
126,Nirja Ganesh,70,82,83,70,84,52
127,Anya Kale,96,53,83,45,50,57
